"filename", "language", "Python", "Batch", "Markdown", "Shell Script", "Makefile", "F#", "C#", "C++", "PowerShell", "Properties", "Visual Basic", "HTML", "XML", "CSS", "C", "comment", "blank", "total"
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\input\mouse.py", "Python", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 96, 34, 160
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\log.py", "Python", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 122, 39, 241
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\maths\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 4, 52
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\maths\math.py", "Python", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 11, 77
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\services.py", "Python", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 45
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\texturing\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 6, 56
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\texturing\material.py", "Python", 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 10, 72
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\texturing\texture.py", "Python", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 97, 39, 191
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\types\__init__.py", "Python", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 6, 57
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\types\flag.py", "Python", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 14, 81
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\types\flag_list.py", "Python", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 21, 104
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\types\object_array.py", "Python", 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 14, 84
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\values.py", "Python", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 16, 122
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\video\__init__.py", "Python", 6, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 6, 60
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\video\bluefire\__init__.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 4, 52
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\video\bluefire\basic.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 55, 6, 61
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\video\camera.py", "Python", 158, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 86, 66, 310
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\video\fog.py", "Python", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 20, 116
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\video\fps_counter.py", "Python", 19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 71, 15, 105
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\video\scene.py", "Python", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 94, 56, 233
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\video\sky_color.py", "Python", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 58, 15, 84
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\video\window.py", "Python", 62, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 125, 49, 236
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\world\__init__.py", "Python", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 48, 6, 56
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\world\clock.py", "Python", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 57, 38, 135
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Capsian\world\format.py", "Python", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 73, 23, 123
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Python\Windows\Lib\__future__.py", "Python", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 61, 20, 147
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Python\Windows\Lib\__phello__.foo.py", "Python", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Python\Windows\Lib\_bootlocale.py", "Python", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 3, 47
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Python\Windows\Lib\_collections_abc.py", "Python", 669, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 126, 217, 1012
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Python\Windows\Lib\_compat_pickle.py", "Python", 220, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 19, 252
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Python\Windows\Lib\_compression.py", "Python", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 28, 153
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Python\Windows\Lib\_dummy_thread.py", "Python", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 68, 20, 164
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Python\Windows\Lib\_markupbase.py", "Python", 298, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 74, 24, 396
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Python\Windows\Lib\_osx_support.py", "Python", 237, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 180, 86, 503
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Python\Windows\Lib\_py_abc.py", "Python", 88, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 13, 148
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Python\Windows\Lib\_pydecimal.py", "Python", 2857, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2845, 707, 6409
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Python\Windows\Lib\_pyio.py", "Python", 1575, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 712, 339, 2626
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Python\Windows\Lib\_sitebuiltins.py", "Python", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 14, 104
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Python\Windows\Lib\_strptime.py", "Python", 383, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 169, 37, 589
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Python\Windows\Lib\_threading_local.py", "Python", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 154, 18, 243
"c:\Users\OxyGe\Desktop\new\Capsian-Engine\Python\Windows\Lib\_weakrefset.py", "Python", 150, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 11, 36, 197
